Name	Type	Description	Price
Protein	Vitamin	Increases a Pokes Attack by 1. A Poke is only capable of having a single Vitamin.	20000
Iron	Vitamin	Increases a Pokes Defense by 1. A Poke is only capable of having a single Vitamin.	20000
Calcium	Vitamin	Increases a Pokes Special Attack by 1. A Poke is only capable of having a single Vitamin.	20000
Zink	Vitamin	Increases a Pokes Special Defense by 1. A Poke is only capable of having a single Vitamin.	20000
Carbos	Vitamin	Increases a Pokes Speed by 1. A Poke is only capable of having a single Vitamin.	20000
HP Up	Vitamin	Increases a Pokes HP by 1. A Poke is only capable of having a single Vitamin.	20000
Pokedex	Gear	A hand-held computer with an advanced camera and image recognition software given to trainers at the start of their journey	0
Old Rod	Gear	Can be used to seach for Pokes in water. It does not look very sturdy.	1000
Good Rod	Gear	Can be used to seach for Pokes in water	5000
Super Rod	Gear	Can be used to seach for Pokes in water. Shiny!	15000
Escape Rope	Gear	Can be used to Escape Wild Battle without a check	150
Backpack	Gear	Increases encomberance by 2	150
Binoculars	Gear	Removes 1 setback die due to distance	250
Flashlight	Gear	Removes 1 setback die due to darkness	50
Flint and steel	Gear	Downgrade the difficulty of survival check to make fire	100
Lantern	Gear	Removes 2 setback die due to darkness	100
Picknic Table	Gear	Allows resting in wilderness	500
Sandwich Ingrediants	Gear	Used  to make sandwich	10
Sleeping Bag	Gear		250
Tent	Gear	Fits 2 people	250
Thieves Tols	Gear	Allows the ability to pick locks	500
Honey	Gear	Attracts a random Poke native to the area	300
Poke Ball	Ball	Allows a capture attempt	250
Great Ball	Ball	Gain a blue on capture attemps	500
Ultra Ball	Ball	Downgrade the difficulty on capture attempts	1000
Fast Ball	Ball	Downgrade the difficulty on capture attempts three times if using against a poke with 3 speed or more 	1500
Lure Ball	Ball	Downgrade the difficulty on capture attempts three times if target is in water outside of battle	1500
Heavy Ball	Ball	Downgrade your capture attempt if target poke weights less than 100 kg, Downgrade the difficulty on capture if target Poke weighs 200 kgs < 300 kgs, Downgrade the difficulty on capture three times if target Poke weighs if 300 kgs or higher	1250
Love Ball	Ball	Lower the difficulty by one and downgrade the difficulty on capture attempts four times if target is same species as your active poke and they are different genders	2200
Multi Ball	Ball	Downgrade the difficulty on capture attempts twice if target has multiple heads	1250
Net Ball	Ball	Downgrade the difficulty and add a blue on capture attempts two times if target is Water or Bug Type Poke	1250
Dive Ball	Ball	Downgrade the difficulty and add a blue on capture attempts two times if target is in water	1250
Nest Ball	Ball	Downgrade the difficulty and add a blue on capture attempts two times if target is a baby Poke	1000
Trap Ball	Ball	Downgrade the difficulty on capture attempts twice if used in a forest or if target Poke is Normal Type	1250
Faraday Ball	Ball	Downgrade the difficulty and add a blue on capture attempts two times if target is Electric or Steel Type Poke	1250
Repeat Ball	Ball	Downgrade the difficulty and add a blue on capture attempts two times if you have a Poke of the same speciaes as the target	1250
Timer Ball	Ball	If used on round 1 or outside of battle downgrade you capture attempt once. If used in round 3, 5, or 7 gain a blue on your capture attempt. If used on round 4 or 5 of battle downgrade the difficulty once, twice on rounds 6 and 7, and 3 times if used on or after round 8	2000
Luxury Ball	Ball	Loyalty increases faster	2500
Premier Ball	Ball	Gained for free if you buy 10 balls at once	0
Dusk Ball	Ball	Downgrade the difficulty on capture attempts twice if used in a cave or at night	1250
Heal Ball	Ball	Fully heals target Poke when caught	1000
Quick Ball	Ball	Downgrade the difficulty on capture attempts four times if used round 1 of battle	2200
Dream Ball	Ball	Downgrade the difficulty on capture attempts three times if target is asleep	1750
