Name	Cost	Description
Accurate	0	Add one Blue per rank, Remove 1 rank per rank of Inaccurate. Look at the total ranks of both before removing.
Airborne	0	No immediate effect.
Amorphous	0	Before activating a Move with this trait instead select a target and use the last move they used. Reduce the PP of the Move with this Proprerty as normal.
Atrophy	0	Base damage lowers by 1 for each wound the user has.
Badly Poisoned	0	Allows a Move to increase Poison to Poison 2. You must still activate the Poison Property for it to increase.
Bloody	0	Base damage for Moves With this property is equal to the number of wounds it currently has.
Critical	0	Properties on Moves that have this property cost one less advantage to activate.
Crosshair	0	Move check does not include black dice from armor or battlefield effects.
Dancing	0	No immediate effect.
Delayed	0	Moves with this Trait are rolled as normal including soak but no other effects including Type weakness or resistance, but the damage is not applied until rounds have passed equal to the ranks in Delayed. If the original target is no longer on the battlefield you may select a new target. A new check is not made and the new target’s soak is not applied but all other effects are.
Expertise	0	Base damage for Moves with this Property is equal to twice the number of ranks in the Moves Skill.
Heal	0	Removes wounds from the target instead of adding them. Is not subject to armor or soak.
Homing	0	Is not affected by Sky, Underground, or Underwater conditions
Inaccurate	0	Add one Black per rank, Remove 1 rank per rank of Accurate. Look at the total ranks of both before removing.
Innocuous	0	Moves with this Property gain Locked Out until the end of the round when the user suffers wounds.
Kick Off	0	A Move with this property gains the Locked Out Property at the end of the first action of the user after having rolled Initiative.
Lock In	0	If the user has the Locked condition this has no effect. Otherwise suffer the Locked condition with ranks equal to the ranks of Lock In.
Locked Out	0	A Move with this property cannot be used.
Loyal	0	Base damage is Pokes Loyalty multiplied by three
Merciful	0	Damage cannot exceed wound or strain threshold
Morpheus	0	A Move with this trait is Locked out unless the target is asleep.
Opener	0	Base damage lowers by 1 for each wound the target has.
Overwhelm	0	Base damage is equal to targets wound threshold
Prepare	0	If you have the Prepared condition this has no effect. Otherwise do not make a Move check this turn, User gains Locked 1 and Prepared conditions, do not lower PP count.
Projectile	0	No immediate effect.
Random	0	Instead of making a Move check use another Move instead based on this Move's description. If you would recieve STAB on this Move you gain it on the new Move even if it is of a different Type.
