Name	Type	Activation	ActivationValue	Ranked	RankMin	Description
Toughness	Shared	Passive	taPassive	true	1	Wound threshhold  increases by 2
Grit	Shared	Passive	taPassive	true	1	Strain threshhold increases by 2
Dedication	Shared	Passive	taPassive	true	5	Increase a Characteristic/Stat by 1
Power	Trainer - General	Passive	taPassive	false	5	Damaging Moves that recieves STAB with Type matching the specialization this talent is in are upgraded once
Stay	Trainer - General	Active - Incidental | Out of Turn	taIncidentalOOT	false	2	When a poke would disengage from one of your pokes. Your Poke may take 2 strain as an out of turn incedental. If they do the enemy poke must succeed a average resilience check or is unable to move until the end of their turn. They do not lose their maneuver.
Status More Effective	Trainer - General	Passive	taPassive	false	4	Status Effects that match the Type of the Specializtion this is taken in cost 1 less to inflict
Break	Trainer - General	Active - Incidental | Out of Turn	taIncidentalOOT	false	4	Once per session you can ignore an Enemy Pokemons abililty that would reduce damage you would deal.
Percise Aim	Trainer - General	Passive	taPassive	true	2	When one of your Pokes is targeting a Poke in engaged range of an ally add a Blue for each rank of Percise Aim
Piercing Strike	Trainer - General	Passive	taPassive	true	3	For each rank of Piercing Strike add pierce 1 for to moves that have 3 or less base damage if it already has pierce increase its rank by 1
Utility	Trainer - General	Passive	taPassive	false	5	Non-damaging Moves that recieves STAB with Type matching the specialization this talent is in are upgraded once
Improved Utilization	Trainer - General	Active - Manuver	taManeuver	false	4	Increase the rank of a Property on a non-damageing Move whos type matches the specailization this was taken in by 1
Easier Utilization	Trainer - General	Passive	taPassive	false	4	When a Poke with Type matching the specialization this talent was taken in uses non-damaging Moves that recieves STAB they may use 3 uncannceleld successes for a free activation of a Property
Adaptaion	Trainer - General	Passive	taPassive	true	1	Checks to overcome envirmental challenges or effects matching the specialization this talent was taken in have their difficulty reduced by 1
Hit and Run	Trainer - General	Active - Incidental	taIncidental	false	3	When your Pokes with Type matching the Specailization in which this talent was taken uses a manuver to move followed by Move with range of engaged. They gain a free manuver that can only be used to disengage as an incedental. This does not count against your two manuver per turn limit.
Uncanny Reactions	Trainer - General	Passive	taPassive	true	2	Add a blue per rank of Uncanny reactionsto all vigilence checks
Healer	Trainer - General	Passive	taPassive	false	4	Moves with Typing that matches the Specialization in which this Talent was taken that gain STAB and have the Heal property are upgraded once
Scavenger	Trainer - General	Passive	taPassive	false	1	You are more likly to find berries in the wilderness
Envirmentally Unfriendly	Trainer - General	Active - Incidental	taIncidental	false	4	Once per session you may spend a story point to add an envirmental hazzard to the sceen. Type of hazzard is at GMs discression.
Ethereal Hand	Trainer - General	Active - Manuver	taManeuver	true	1	You may move 1 object within short range up to 1 range band. The objects weight can be no move than 1 KG per rank of this talent.
One With Nature	Trainer - General	Active - Incidental | Out of Turn	taIncidentalOOT	false	1	You may use Survival instead of cool or disiple to recover strain at the end of a scene
Perticular	Trainer - General	Passive	taPassive	false	2	Gain 2 Blue on capture checks targeting Pokes way is Type match the specialization in which this talent was taken
Proper Upbringing	Trainer - General	Active - Incidental	taIncidental	true	1	Gain advantage to social battle rolls equal to your ranks in Proper Upbringing
